f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
2.98365 2.60372e-007 90 1 0 607.833 179.996 0.0392953 -0.00503991 1 0 1.0583 0.000202099 0.406198 -0.00019087 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000197488 2.17561 -0.00410933 2.14495 179.996 0 0 0 0 0 0 3.04597e-015 89.9998 1.34496e-014 -90.0041 4.95108e-014 -89.9999 1.77204e-013 -90.0041 0.000245766 -0.00413747 
3.05386 2.66499e-007 90 1 0 607.833 179.996 0.0392953 -0.00515851 1 0 1.0583 0.000206855 0.406198 -0.000195362 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000202135 2.17561 -0.00420603 2.14495 179.996 0 0 0 0 0 0 3.11764e-015 89.9998 1.3766e-014 -90.0042 5.06758e-014 -89.9999 1.81374e-013 -90.0042 0.000245766 -0.00423482 
3.12572 2.7277e-007 90 1 0 607.833 179.996 0.0392953 -0.00527989 1 0 1.0583 0.000211722 0.406198 -0.000199959 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000206891 2.17561 -0.004305 2.14495 179.996 0 0 0 0 0 0 3.191e-015 89.9998 1.409e-014 -90.0043 5.18683e-014 -89.9999 1.85642e-013 -90.0043 0.000245766 -0.00433447 
3.19927 2.79189e-007 90 1 0 607.833 179.996 0.0392953 -0.00540413 1 0 1.0583 0.000216704 0.406198 -0.000204664 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.00021176 2.17561 -0.0044063 2.14495 179.996 0 0 0 0 0 0 3.26609e-015 89.9998 1.44215e-014 -90.0044 5.30888e-014 -89.9999 1.9001e-013 -90.0044 0.000245766 -0.00443647 
3.27455 2.85758e-007 90 1 0 607.833 179.995 0.0392953 -0.0055313 1 0 1.0583 0.000221804 0.406198 -0.00020948 0 0 2.19243 179.995 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000216743 2.17561 -0.00450998 2.14495 179.996 0 0 0 0 0 0 3.34294e-015 89.9998 1.47609e-014 -90.0045 5.4338e-014 -89.9999 1.94481e-013 -90.0045 0.000245766 -0.00454086 
3.3516 2.92483e-007 90 1 0 607.833 179.995 0.0392953 -0.00566146 1 0 1.0583 0.000227023 0.406198 -0.000214409 0 0 2.19243 179.995 1.79358 179.995 0 0 1.05008 -180 1 0 1.04397 0.000221843 2.17561 -0.00461611 2.14495 179.995 0 0 0 0 0 0 3.42161e-015 89.9998 1.51082e-014 -90.0046 5.56166e-014 -89.9999 1.99057e-013 -90.0046 0.000245766 -0.00464771 
3.43047 2.99365e-007 90 1 0 607.833 179.995 0.0392953 -0.00579468 1 0 1.0583 0.000232365 0.406198 -0.000219454 0 0 2.19243 179.995 1.79358 179.995 0 0 1.05008 -180 1 0 1.04397 0.000227063 2.17561 -0.00472473 2.14495 179.995 0 0 0 0 0 0 3.50212e-015 89.9998 1.54637e-014 -90.0047 5.69253e-014 -89.9999 2.03741e-013 -90.0047 0.000245766 -0.00475708 
3.51119 3.06409e-007 90 1 0 607.833 179.995 0.0392953 -0.00593103 1 0 1.0583 0.000237833 0.406198 -0.000224618 0 0 2.19243 179.995 1.79358 179.995 0 0 1.05008 -180 1 0 1.04397 0.000232406 2.17561 -0.00483591 2.14495 179.995 0 0 0 0 0 0 3.58453e-015 89.9998 1.58276e-014 -90.0048 5.82649e-014 -89.9999 2.08536e-013 -90.0048 0.000245766 -0.00486902 
3.59381 3.13619e-007 90 1 0 607.833 179.995 0.0392953 -0.00607059 1 0 1.0583 0.000243429 0.406198 -0.000229904 0 0 2.19243 179.995 1.79358 179.995 0 0 1.05008 -180 1 0 1.04397 0.000237875 2.17561 -0.0049497 2.14495 179.995 0 0 0 0 0 0 3.66888e-015 89.9998 1.62001e-014 -90.0049 5.96359e-014 -89.9999 2.13443e-013 -90.0049 0.000245766 -0.00498359 
3.67838 3.20999e-007 90 1 0 607.833 179.995 0.0392953 -0.00621344 1 0 1.0583 0.000249158 0.406198 -0.000235314 0 0 2.19243 179.995 1.79358 179.995 0 0 1.05008 -180 1 0 1.04397 0.000243472 2.17561 -0.00506617 2.14495 179.995 0 0 0 0 0 0 3.75521e-015 89.9998 1.65813e-014 -90.005 6.10392e-014 -89.9998 2.18465e-013 -90.005 0.000245766 -0.00510086 
